text,intent,encoded_intent
show economy class one way fares flights oakland dallas december sixteenth,atis_airfare,2
fare code qw,atis_abbreviation,0
like flight july ninth orlando kansas city afternoon,atis_flight,4
coach fares charlotte la wednesday night,atis_airfare,2
ground transportation available denver,atis_ground_service,6
show flights philadelphia oakland friday,atis_flight,4
would like know flights available boston denver arriving denver wednesday morning,atis_flight,4
would like fly cheapest rate available pittsburgh atlanta wednesday morning,atis_flight,4
list flight philadelphia san francisco american airlines,atis_flight,4
flights memphis las vegas sunday,atis_flight,4
first flight atlanta boston thursday september fifth leaves,atis_flight,4
first class fare united flight denver boston,atis_airfare,2
flight philadelphia dallas arriving pm saturday,atis_flight,4
list flights tomorrow san diego phoenix,atis_flight,4
show flights san francisco washington dc area,atis_flight,4
sure want go philadelphia dallas,atis_flight,4
show united airlines flights leaving dallas,atis_flight,4
list flights phoenix las vegas,atis_flight,4
list flights baltimore philadelphia,atis_flight,4
round trip flights minneapolis san diego coach economy fare,atis_flight,4
want fly boston denver want stopovers like fly afternoon,atis_flight,4
flights denver baltimore pm,atis_flight,4
show flights denver atlanta,atis_flight,4
flights delta boston dallas,atis_flight,4
kind ground transportation offer seattle,atis_ground_service,6
leaving washington going san francisco latest flight,atis_flight,4
show flights available atlanta baltimore leaving atlanta morning,atis_flight,4
round trip fares new york san jose,atis_airfare,2
flights serviced american airlines,atis_flight,4
get pittsburgh airport downtown pittsburgh,atis_flight,4
midwest express serve charlotte,atis_flight,4
flights houston milwaukee friday evening american airlines,atis_flight,4
earliest flight going san francisco dallas monday august nineteenth,atis_flight,4
flights atlanta louis tuesday arriving around pm,atis_flight,4
need flight kansas city chicago leaves wednesday arrives chicago around pm,atis_flight,4
would like information flights pittsburgh san francisco leaving thursday evening,atis_flight,4
need cheap flight baltimore san francisco,atis_flight,4
cost first class ticket baltimore dallas,atis_airfare,2
economy thrift fare boston washington,atis_airfare,2
list nonstop flights early tuesday morning dallas atlanta,atis_flight,4
earliest flight leaves philadelphia dallas,atis_flight,4
flights dallas fort worth boston leaving,atis_flight,4
show flights baltimore pm,atis_flight,4
need return flight philadelphia boston,atis_flight,4
united airlines flights stopping denver noon,atis_flight,4
show car rentals baltimore,atis_ground_service,6
flights go newark boston morning,atis_flight,4
shortest evening flight tampa cincinnati,atis_flight,4
much time take go airport downtown ground transportation dallas,atis_ground_service,6
flights boston pittsburgh,atis_flight,4
like fly continental airlines boston philadelphia,atis_flight,4
would like book flight continental airlines chicago seattle june first,atis_flight,4
flights pittsburgh dallas round trip pm less,atis_flight,4
show flights sunday going san francisco boston nonstop first class leaving noon,atis_flight,4
las vegas phoenix,atis_flight,4
show flights pittsburgh atlanta monday afternoon,atis_flight,4
show flight smallest seating capacity leaves pittsburgh arrives baltimore june fourteenth,atis_flight,4
show flights boston denver july thirty first,atis_flight,4
flights noon june fifteenth long beach columbus,atis_flight,4
list daily flights boston atlanta,atis_flight,4
flight san francisco atlanta leaves flight,atis_flight,4
united airlines give flight times boston dallas,atis_flight_time,5
ground transportation minneapolis,atis_ground_service,6
show airline abbreviations,atis_airline,3
many flights delta class service code f,atis_quantity,7
please list arriving departing flights general mitchell international,atis_flight,4
would like see flights denver philadelphia please,atis_flight,4
eastern airlines fly early morning logan bwi,atis_flight,4
flights leave phoenix american airlines,atis_flight,4
list airlines flights boston san francisco,atis_airline,3
flights nashville orlando daily,atis_flight,4
show first class flights pittsburgh san francisco friday,atis_flight,4
need earliest flight denver boston serves dinner,atis_flight,4
toronto atlanta afternoon,atis_flight,4
please list friday afternoon flights san jose dallas american airlines,atis_flight,4
ground transportation boston airport,atis_ground_service,6
show first flight pittsburgh atlanta wednesday,atis_flight,4
sorry wanted fly twa flight oakland boston stopover dallas fort worth twa,atis_flight,4
show flights san francisco la guardia nonstop,atis_flight,4
flights pittsburgh los angeles,atis_flight,4
kind ground transportation washington dc,atis_ground_service,6
least expensive flight available dallas fort worth san francisco,atis_flight,4
fare code f mean,atis_abbreviation,0
expensive way fly washington,atis_flight,4
flights houston milwaukee friday american airlines,atis_flight,4
schedule ground transportation airport philadelphia downtown,atis_ground_service,6
show list flights san francisco boston august thirtieth,atis_flight,4
show least expensive flight miami cleveland sunday noon,atis_flight,4
much cost go downtown logan airport,atis_airfare,2
flights newark tampa,atis_flight,4
want flight philadelphia dallas least one stop,atis_flight,4
show flights denver oakland arriving,atis_flight,4
fare san francisco dallas fort worth delta flight,atis_airfare,2
flights newark new jersey cleveland ohio,atis_flight,4
give flights denver baltimore,atis_flight,4
show flights denver san francisco,atis_flight,4
show flights denver washington dc thursday,atis_flight,4
please list thursday morning flights louis paul,atis_flight,4
flight pittsburgh san francisco morning august twenty seventh,atis_flight,4
flights boston atlanta,atis_flight,4
flights baltimore san francisco arrive pm san francisco,atis_flight,4
show flights pittsburgh san francisco thursday night friday,atis_flight,4
get first class flight american san francisco tuesday next week,atis_flight,4
ground transportation westchester county,atis_ground_service,6
flights atlanta baltimore,atis_flight,4
like fly dallas san francisco approximately pm,atis_flight,4
list fares us air flights boston philadelphia,atis_airfare,2
list flights phoenix detroit thursday june twenty fourth,atis_flight,4
flights miami indianapolis sunday,atis_flight,4
show flights memphis cleveland,atis_flight,4
give information flights san francisco pittsburgh san francisco monday,atis_flight,4
could find flight boston san francisco stops denver,atis_flight,4
flights cleveland miami,atis_flight,4
give flights pittsburgh los angeles thursday evening,atis_flight,4
please list flights leaving atlanta heading baltimore pm wednesday thursday,atis_flight,4
show flights seattle san francisco leave pm,atis_flight,4
show flights go tacoma miami,atis_flight,4
airline fly atlanta denver san francisco,atis_airline,3
flights denver pittsburgh stops atlanta,atis_flight,4
list flights arrive general mitchell international,atis_flight,4
fare code h,atis_abbreviation,0
flights salt lake city new york city arrive next saturday pm,atis_flight,4
flights nashville seattle,atis_flight,4
show fares seattle minneapolis,atis_airfare,2
need flight boston san francisco via dallas fort worth,atis_flight,4
like afternoon flight atlanta san francisco stopover denver arriving say mealtime,atis_flight,4
show expensive one way flight detroit westchester county,atis_flight,4
show flights baltimore philadelphia,atis_flight,4
denver washington dc monday november eleventh,atis_flight,4
please list flights boston denver serve meals,atis_flight,4
list aircraft types fly boston san francisco,atis_aircraft,1
fare code qw mean,atis_abbreviation,0
interested flight american airlines dallas washington,atis_flight,4
give flights pittsburgh baltimore,atis_flight,4
much round trip fare indianapolis seattle,atis_airfare,2
cheapest flight long beach memphis,atis_flight,4
airline provides business class flights,atis_airline,3
pittsburgh denver,atis_flight,4
airlines fly boston pittsburgh,atis_airline,3
list flights arriving atlanta baltimore noon august fourth,atis_flight,4
give flights american airline philadelphia dallas,atis_flight,4
need flight sunday miami las vegas would prefer morning flight,atis_flight,4
flights boston pittsburgh,atis_flight,4
flights go pittsburgh atlanta evening,atis_flight,4
show fares dallas san francisco,atis_airfare,2
give american airlines flights milwaukee phoenix saturday sunday,atis_flight,4
list flights leave baltimore denver pittsburgh arrive philadelphia,atis_flight,4
show flights baltimore oakland,atis_flight,4
show earliest flight denver las vegas,atis_flight,4
show flights milwaukee orlando wednesday night,atis_flight,4
may listing flights milwaukee tacoma washington departing evening,atis_flight,4
morning flights oakland denver,atis_flight,4
like flight washington stops denver goes san francisco,atis_flight,4
show flights pittsburgh baltimore tomorrow,atis_flight,4
one way flights boston philadelphia,atis_flight,4
flights go san francisco boston,atis_flight,4
flights san francisco philadelphia daily economy class,atis_flight,4
first flights pittsburgh atlanta thursday,atis_flight,4
show flights baltimore atlanta,atis_flight,4
tell flights toronto salt lake city leaving pm,atis_flight,4
show flights indianapolis orlando round trip fares less,atis_flight,4
need flight boston pittsburgh leaves early morning,atis_flight,4
first flight atlanta baltimore serves lunch,atis_flight,4
show flights pittsburgh baltimore,atis_flight,4
flights denver philadelphia,atis_flight,4
oakland philadelphia saturday,atis_flight,4
give earliest flight tomorrow united airlines petersburg milwaukee,atis_flight,4
show flights monday philadelphia boston,atis_flight,4
show flights leaving baltimore,atis_flight,4
show flights philadelphia boston,atis_flight,4
plane boston washington,atis_aircraft,1
need go boston atlanta back day find earliest flight boston,atis_flight,4
flights boston pittsburgh august tenth,atis_flight,4
schedule flights boston san francisco august first,atis_flight_time,5
show one way flights milwaukee orlando wednesday,atis_flight,4
show flights pittsburgh baltimore tomorrow serve meal,atis_flight,4
give flights american airlines milwaukee phoenix,atis_flight,4
show flights pittsburgh san francisco,atis_flight,4
wish fly boston washington please find airline,atis_flight,4
please list flights dallas fort worth dc baltimore july twenty third,atis_flight,4
flights memphis tacoma also stop los angeles,atis_flight,4
show flights tuesday morning charlotte baltimore,atis_flight,4
need first class tickets dallas fort worth san francisco,atis_airfare,2
flights philadelphia dallas stop atlanta,atis_flight,4
flights baltimore,atis_flight,4
mco stand,atis_abbreviation,0
least expensive way fly philadelphia san francisco,atis_flight,4
list nonstop flights los angeles pittsburgh pm tuesday,atis_flight,4
many booking classes,atis_quantity,7
give continental flights chicago seattle friday,atis_flight,4
united airlines flights baltimore denver august twelfth,atis_flight,4
show flights next tuesday philadelphia san francisco,atis_flight,4
find flight american airlines boston san francisco makes stopover denver,atis_flight,4
show fares flights round trip pittsburgh oakland,atis_airfare,2
difference fare code q fare code f,atis_abbreviation,0
flights cincinnati salt lake city,atis_flight,4
ground transportation denver,atis_ground_service,6
show flights denver washington dc wednesdays,atis_flight,4
find flight denver oakland flight afternoon arrive close pm flight nonstop,atis_flight,4
show flights atlanta washington prices,atis_flight,4
flights new york miami,atis_flight,4
please list monday morning flights kansas city atlanta,atis_flight,4
list american airlines flights phoenix milwaukee arrive wednesday pm,atis_flight,4
round trip tickets cleveland miami us air arrive pm,atis_airfare,2
like go boston denver saturday night,atis_flight,4
show northwest flights detroit petersburg,atis_flight,4
available ground transportation airport denver downtown,atis_ground_service,6
may four atlanta denver delta flight,atis_flight,4
show flights indianapolis,atis_flight,4
airlines flights philadelphia pittsburgh,atis_airline,3
flights denver baltimore washington dc,atis_flight,4
list number flights leaving boston dallas fort worth morning,atis_quantity,7
delta flights leaving atlanta,atis_flight,4
list round trip flights orlando kansas city minneapolis,atis_flight,4
would like find flight kansas city salt lake city delta arriving evening could please tell aircraft flight number thank,atis_flight,4
would like flight washington boston leaving august twentieth,atis_flight,4
much flight washington boston,atis_airfare,2
show flights orlando san diego boeing,atis_flight,4
flights sunday seattle minneapolis,atis_flight,4
show flights pittsburgh atlanta,atis_flight,4
united airlines flight flies across continent leaves boston goes dallas makes stopover philadelphia,atis_flight,4
list daily flights united airline denver baltimore first class service,atis_flight,4
show flights pittsburgh atlanta monday morning,atis_flight,4
flights phoenix sfo,atis_flight,4
want travel washington dc philadelphia tuesday morning,atis_flight,4
fare going atlanta boston one way november seventh,atis_airfare,2
flight american airlines boston denver,atis_flight,4
flights available san francisco pittsburgh thursday evening,atis_flight,4
afternoon flight leaving afternoon going boston san francisco stopover dallas,atis_flight,4
show flights pittsburgh san francisco monday,atis_flight,4
show list flights american airlines boston dc july twenty second,atis_flight,4
like flights philadelphia pittsburgh leaving pm,atis_flight,4
economy flights available dallas baltimore december seventeenth,atis_flight,4
please show flights san francisco dallas,atis_flight,4
please show flights indianapolis san diego tomorrow,atis_flight,4
flight code us mean,atis_flight,4
would like flight denver pittsburgh,atis_flight,4
flight schedule pittsburgh baltimore,atis_flight_time,5
looking flight dc minnesota,atis_flight,4
many us air flights leave washington,atis_quantity,7
show times flights san francisco atlanta,atis_flight_time,5
flights wednesday evening thursday morning denver sfo,atis_flight,4
many flights go dallas baltimore july nineteenth,atis_quantity,7
could show flights oakland salt lake city,atis_flight,4
find flight boston san francisco layover denver united,atis_flight,4
flights available boston washington arriving washington,atis_flight,4
show airlines toronto denver,atis_airline,3
flights pittsburgh atlanta,atis_flight,4
show flights denver westchester county,atis_flight,4
need information flight denver atlanta,atis_flight,4
cheapest flight boston atlanta,atis_flight,4
cheapest flight atlanta pittsburgh one way,atis_flight,4
show overnight flights washington dc san francisco list fares,atis_flight,4
round trip flights new york miami,atis_flight,4
show one way flight detroit westchester county highest fare,atis_flight,4
flights newark chicago continental,atis_flight,4
trying make connection denver san francisco delta airline fly two,atis_flight,4
latest us air flight leaving philadelphia returning boston,atis_flight,4
flights us air san francisco pittsburgh tuesday,atis_flight,4
fly boston baltimore washington,atis_flight,4
mco,atis_abbreviation,0
flights las vegas phoenix,atis_flight,4
would like leave around morning,atis_flight,4
show fares baltimore philadelphia,atis_airfare,2
flights memphis seattle,atis_flight,4
please show flights pittsburgh atlanta wednesday morning serving breakfast,atis_flight,4
flights atlanta august second,atis_flight,4
american airlines fly atlanta philadelphia,atis_flight,4
yes like flight long beach louis way dallas,atis_flight,4
like know flights denver philadelphia,atis_flight,4
cheapest one way flights atlanta denver,atis_flight,4
first flight noon washington denver,atis_flight,4
many delta flights leave washington,atis_quantity,7
list united flights flight oakland boston,atis_flight,4
philadelphia toronto,atis_flight,4
interested flight american airlines dallas washington,atis_flight,4
airplane types fly pittsburgh baltimore,atis_aircraft,1
yn code,atis_abbreviation,0
would like earliest morning flight atlanta philadelphia wednesday morning,atis_flight,4
may listing flights long beach columbus ohio tuesday,atis_flight,4
flights leave phoenix nashville american airlines,atis_flight,4
show round trips new york miami leaving tuesday,atis_flight,4
list nonstop flights sunday tampa charlotte,atis_flight,4
list flights burbank denver,atis_flight,4
round trip fares flights denver philadelphia arriving continental,atis_airfare,2
like see flights baltimore atlanta,atis_flight,4
please show flights las vegas detroit twenty eighth,atis_flight,4
ord,atis_abbreviation,0
type ground transportation available airport downtown san francisco,atis_ground_service,6
american flight boston oakland nonstop flight,atis_flight,4
give flights washington dc philadelphia december second,atis_flight,4
show connecting flights pittsburgh oakland,atis_flight,4
list daily flights boston oakland using twa,atis_flight,4
would like least expensive airfare flight sunday pittsburgh san francisco,atis_airfare,2
need flight san diego indianapolis leaving afternoon tuesday,atis_flight,4
give evening flight wednesday washington atlanta,atis_flight,4
would like book flight los angeles pittsburgh june first,atis_flight,4
flights atlanta washington,atis_flight,4
show flights direct boston san francisco oakland arrive local time,atis_flight,4
first class round trip airfare indianapolis memphis,atis_airfare,2
flights cincinnati denver american airlines,atis_flight,4
list flights continental leaving denver sunday,atis_flight,4
show flights charlotte,atis_flight,4
show nationair flights toronto,atis_flight,4
fares newark la monday wednesday,atis_airfare,2
show flights denver atlanta june sixteenth,atis_flight,4
please show round trip tickets denver oakland,atis_airfare,2
list flights united san francisco boston fare code qx,atis_flight,4
many flights twa business class,atis_quantity,7
list flights going boston atlanta wednesday thursday,atis_flight,4
show flights love field,atis_flight,4
show flights pittsburgh philadelphia,atis_flight,4
show flights philadelphia atlanta,atis_flight,4
philadelphia dallas arriving afternoon,atis_flight,4
need flight tampa montreal,atis_flight,4
please give flights leaving san francisco going pittsburgh,atis_flight,4
philadelphia dallas saturday morning,atis_flight,4
flight leaving oakland salt lake city,atis_flight,4
tell flights american airlines dallas fort worth philadelphia june twenty ninth,atis_flight,4
list flights boston san francisco maximum number stops,atis_flight,4
flights atlanta denver,atis_flight,4
flights dallas boston monday morning,atis_flight,4
show flights leaving denver colorado pittsburgh pennsylvania wednesdays pm,atis_flight,4
need flight information atlanta boston,atis_flight,4
choices flights las vegas new york,atis_flight,4
cheapest flight boston san francisco,atis_flight,4
continental airlines class service san francisco pittsburgh,atis_flight,4
find cheapest flight denver atlanta stopover pittsburgh,atis_flight,4
lowest one way fares atlanta denver,atis_airfare,2
flights boston san francisco stopping denver,atis_flight,4
flights kansas city cleveland wednesday,atis_flight,4
much round trip fare memphis seattle,atis_airfare,2
show flights love field,atis_flight,4
like fly philadelphia dallas atlanta,atis_flight,4
information flights pittsburgh philadelphia,atis_flight,4
flights american airlines fly philadelphia dallas,atis_flight,4
want travel kansas city chicago round trip leaving wednesday june sixteenth arriving chicago around evening returning next day arriving kansas city around evening airlines fly route,atis_flight,4
would like time flights san francisco pittsburgh sunday,atis_flight_time,5
show ground transportation dallas please,atis_ground_service,6
nonstop flights leaving denver arriving baltimore july seventh,atis_flight,4
much dl cost,atis_airfare,2
earliest flight boston san francisco american airlines,atis_flight,4
please list ground transport san francisco,atis_ground_service,6
need flight ontario los angeles thursday,atis_flight,4
show flights airports love field,atis_flight,4
list flights pittsburgh san francisco thursday,atis_flight,4
flights available denver baltimore first class united airlines arriving may seventh noon,atis_flight,4
airlines represented database,atis_airline,3
flight pittsburgh baltimore july nineteenth smallest seating capacity,atis_flight,4
list trans world airline flights indianapolis houston arrive houston,atis_flight,4
flights new york city las vegas,atis_flight,4
ground transportation san diego airport downtown area,atis_ground_service,6
shortest morning flights cincinnati tampa,atis_flight,4
last flight houston dallas,atis_flight,4
flight charlotte newark tuesday evening,atis_flight,4
airline us,atis_airline,3
lowest round trip fare dallas atlanta,atis_airfare,2
find earliest flight boston atlanta day week,atis_flight,4
display flights boston baltimore july thirty first,atis_flight,4
economy fares new york miami round trip,atis_airfare,2
need fly boston denver san francisco back,atis_flight,4
wish book flight pittsburgh atlanta coach discount fare,atis_flight,4
show flights dallas san francisco atlanta pittsburgh,atis_flight,4
hi need get flight memphis salt lake city departing,atis_flight,4
cheapest fare get dallas denver,atis_airfare,2
would like flight philadelphia dallas arrive dallas noon,atis_flight,4
us air next wednesday cleveland miami,atis_flight,4
could please find cheapest one way fare boston philadelphia,atis_airfare,2
like flight detroit petersburg tuesday,atis_flight,4
return miami new york tower air saturdays,atis_flight,4
show ground transportation san francisco,atis_ground_service,6
please give earliest flight tomorrow petersburg milwaukee,atis_flight,4
need ground transportation dallas please show available,atis_ground_service,6
fare code yn,atis_abbreviation,0
cheapest flights atlanta philadelphia arrive pm tuesday,atis_flight,4
early morning delta airlines flight boston washington,atis_flight,4
flights orlando tacoma saturday,atis_flight,4
show flights direct connecting dallas fort worth either san francisco oakland depart pm,atis_flight,4
give flights chicago seattle saturday morning,atis_flight,4
okay tell earliest flight leaves atlanta denver,atis_flight,4
want flight toronto montreal leaves early friday morning,atis_flight,4
first class flights available denver baltimore july twenty fifth,atis_flight,4
show airlines love field,atis_airline,3
cheapest one way ticket baltimore atlanta,atis_airfare,2
first class flight american san francisco tuesday next week,atis_flight,4
airlines fly boston san francisco stop denver,atis_airline,3
flights new york city las vegas arrive sunday,atis_flight,4
flights friday newark tampa,atis_flight,4
flights san francisco august one,atis_flight,4
many stops continental boston san francisco,atis_quantity,7
flight us air san francisco baltimore time city plane stop,atis_flight,4
need flight petersburg charlotte get charlotte pm soon thereafter possible,atis_flight,4
want one way ticket dallas baltimore,atis_airfare,2
find latest flight leaving atlanta august seventh arriving denver,atis_flight,4
lowest one way fare pittsburgh denver,atis_airfare,2
show flights los angeles pittsburgh monday evening,atis_flight,4
show flights san francisco washington dc,atis_flight,4
show flights pittsburgh philadelphia,atis_flight,4
show shortest flight boston denver arrives denver wednesday noon,atis_flight,4
flights orlando kansas city,atis_flight,4
show flights san francisco boston thursday,atis_flight,4
sunday flights new york city las vegas,atis_flight,4
need flight pittsburgh new york leaving pm,atis_flight,4
smallest plane flies pittsburgh baltimore eight sixteen,atis_aircraft,1
give flights december twenty seventh fares indianapolis orlando,atis_flight,4
show us air flights leaving pittsburgh afternoon,atis_flight,4
want cheap denver atlanta,atis_flight,4
show flights miami jfk,atis_flight,4
show flights san francisco pittsburgh monday,atis_flight,4
show earliest flight boston denver,atis_flight,4
need united airlines flight denver baltimore saturday,atis_flight,4
cheapest one way flights denver atlanta,atis_flight,4
flights boston washington dc pm november eleventh economy class,atis_flight,4
ground transportation oakland,atis_ground_service,6
list united flights denver san francisco wednesdays,atis_flight,4
cheapest way fly denver oakland,atis_flight,4
philadelphia san francisco one stop dallas please,atis_flight,4
would like fly us air orlando cleveland late evening available,atis_flight,4
restriction ap mean,atis_abbreviation,0
latest flights take baltimore boston,atis_flight,4
list flights philadelphia san francisco via dallas,atis_flight,4
much american airlines flight dallas san francisco cost,atis_airfare,2
flights boston philadelphia show tuesday afternoon,atis_flight,4
show flights new york miami tuesday round trip fare less dollars,atis_flight,4
nonstop flights seattle denver,atis_flight,4
flights available wednesday afternoon denver san francisco,atis_flight,4
flights tacoma san jose also tuesday eighteenth may,atis_flight,4
ground transportation like pittsburgh,atis_ground_service,6
list daily flights boston oakland using united airlines,atis_flight,4
next two days want fly nashville san jose tacoma,atis_flight,4
many flights airline business class service,atis_quantity,7
flights paul kansas city friday supper served,atis_flight,4
show flights san francisco denver either wednesday twenty third thursday twenty fourth,atis_flight,4
flights available pm pittsburgh fort worth,atis_flight,4
list flights memphis seattle,atis_flight,4
airline code,atis_airline,3
show flights san francisco boston,atis_flight,4
show flights san diego phoenix boeing,atis_flight,4
may list flights going boston denver twenty ninth july,atis_flight,4
could tell cheapest fare atlanta boston thirty first august,atis_airfare,2
united airlines flight flies boston san francisco makes stopover philadelphia,atis_flight,4
latest flights boston dallas evening july seventh,atis_flight,4
tell get airport philadelphia downtown,atis_flight,4
bna,atis_abbreviation,0
show flights denver atlanta,atis_flight,4
cost flight dl philadelphia boston,atis_airfare,2
stops dl make san francisco atlanta,atis_flight,4
cheapest round trip flights denver atlanta,atis_flight,4
flights atlanta dallas,atis_flight,4
delta flights san francisco please,atis_flight,4
would like know latest flight wednesday leaving oakland salt lake city offers meal,atis_flight,4
airlines fly boston pittsburgh,atis_airline,3
tell flights go memphis tacoma make stop los angeles,atis_flight,4
cheapest round trip fare boston san francisco,atis_airfare,2
show ground transportation information pittsburgh,atis_ground_service,6
fare boston oakland united airlines,atis_airfare,2
show latest flight salt lake city phoenix,atis_flight,4
show eastern airlines flights leaving pittsburgh afternoon,atis_flight,4
